week,kia boys,hyundai theft,kia theft
2019-04-21,4,0,0
2019-04-28,6,0,4
2019-05-05,4,0,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,5,0,0
2019-06-02,0,0,0
2019-06-09,5,0,0
2019-06-16,0,0,0
2019-06-23,5,0,0
2019-06-30,6,0,0
2019-07-07,0,0,0
2019-07-14,4,0,0
2019-07-21,5,4,0
2019-07-28,6,0,0
2019-08-04,7,0,0
2019-08-11,6,0,0
2019-08-18,5,0,0
2019-08-25,0,0,0
2019-09-01,5,0,0
2019-09-08,3,0,0
2019-09-15,0,4,0
2019-09-22,4,0,0
2019-09-29,5,0,0
2019-10-06,4,0,0
2019-10-13,5,0,0
2019-10-20,4,0,0
2019-10-27,4,0,0
2019-11-03,5,0,0
2019-11-10,4,0,0
2019-11-17,0,0,0
2019-11-24,4,0,0
2019-12-01,4,0,0
2019-12-08,3,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,4,0,0
2020-01-05,4,0,0
2020-01-12,6,0,0
2020-01-19,5,0,0
2020-01-26,4,0,0
2020-02-02,4,0,0
2020-02-09,6,0,0
2020-02-16,5,0,0
2020-02-23,4,0,0
2020-03-01,4,0,0
2020-03-08,4,0,0
2020-03-15,3,0,0
2020-03-22,4,0,0
2020-03-29,3,0,0
2020-04-05,4,0,0
2020-04-12,4,0,0
2020-04-19,5,0,0
2020-04-26,3,0,0
2020-05-03,5,0,0
2020-05-10,5,0,0
2020-05-17,0,0,0
2020-05-24,5,0,0
2020-05-31,0,0,0
2020-06-07,3,0,0
2020-06-14,4,0,0
2020-06-21,6,0,0
2020-06-28,5,0,0
2020-07-05,4,0,0
2020-07-12,4,0,0
2020-07-19,4,0,0
2020-07-26,5,3,0
2020-08-02,0,0,0
2020-08-09,3,0,0
2020-08-16,5,0,4
2020-08-23,7,0,0
2020-08-30,4,0,0
2020-09-06,4,0,0
2020-09-13,5,0,0
2020-09-20,0,0,0
2020-09-27,6,0,0
2020-10-04,4,0,0
2020-10-11,5,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,4,0,0
2020-11-22,5,0,0
2020-11-29,0,0,4
2020-12-06,0,0,0
2020-12-13,0,0,0
2020-12-20,4,0,0
2020-12-27,0,0,0
2021-01-03,3,0,0
2021-01-10,5,4,0
2021-01-17,0,0,0
2021-01-24,0,0,0
2021-01-31,7,0,0
2021-02-07,3,0,0
2021-02-14,7,0,0
2021-02-21,5,0,0
2021-02-28,4,0,0
2021-03-07,0,0,0
2021-03-14,4,0,0
2021-03-21,0,0,0
2021-03-28,0,0,0
2021-04-04,5,0,0
2021-04-11,0,0,0
2021-04-18,6,0,0
2021-04-25,0,0,0
2021-05-02,5,0,0
2021-05-09,4,0,0
2021-05-16,3,5,3
2021-05-23,0,0,0
2021-05-30,5,0,0
2021-06-06,5,0,0
2021-06-13,5,0,0
2021-06-20,5,4,0
2021-06-27,6,0,0
2021-07-04,4,0,0
2021-07-11,6,0,0
2021-07-18,5,0,0
2021-07-25,0,0,0
2021-08-01,9,0,0
2021-08-08,5,0,0
2021-08-15,0,0,0
2021-08-22,9,0,0
2021-08-29,5,0,0
2021-09-05,0,0,0
2021-09-12,0,3,0
2021-09-19,8,6,0
2021-09-26,0,4,0
2021-10-03,6,0,0
2021-10-10,0,0,0
2021-10-17,5,0,0
2021-10-24,4,0,0
2021-10-31,4,0,5
2021-11-07,6,0,0
2021-11-14,6,0,0
2021-11-21,5,0,0
2021-11-28,5,0,0
2021-12-05,4,0,0
2021-12-12,0,0,0
2021-12-19,5,0,0
2021-12-26,6,0,0
2022-01-02,5,0,0
2022-01-09,5,0,0
2022-01-16,0,0,0
2022-01-23,6,3,4
2022-01-30,5,0,0
2022-02-06,5,0,0
2022-02-13,6,0,4
2022-02-20,4,4,0
2022-02-27,5,4,3
2022-03-06,8,4,4
2022-03-13,7,4,4
2022-03-20,6,4,4
2022-03-27,6,0,5
2022-04-03,4,0,3
2022-04-10,8,0,5
2022-04-17,4,5,0
2022-04-24,6,3,4
2022-05-01,5,4,0
2022-05-08,5,0,3
2022-05-15,8,4,5
2022-05-22,7,0,3
2022-05-29,39,0,5
2022-06-05,28,4,0
2022-06-12,21,0,4
2022-06-19,37,5,4
2022-06-26,37,5,6
2022-07-03,26,5,5
2022-07-10,43,7,9
2022-07-17,52,14,16
2022-07-24,71,12,29
2022-07-31,73,20,32
2022-08-07,49,25,31
2022-08-14,45,28,49
2022-08-21,25,16,26
2022-08-28,24,17,25
2022-09-04,26,19,23
2022-09-11,32,16,24
2022-09-18,17,11,19
2022-09-25,20,9,14
2022-10-02,20,10,15
2022-10-09,24,11,19
2022-10-16,29,9,12
2022-10-23,33,16,23
2022-10-30,16,10,14
2022-11-06,19,9,13
2022-11-13,17,7,12
2022-11-20,11,9,10
2022-11-27,17,7,12
2022-12-04,15,6,12
2022-12-11,45,11,16
2022-12-18,20,10,12
2022-12-25,17,9,14
2023-01-01,15,8,11
2023-01-08,16,12,14
2023-01-15,22,17,23
2023-01-22,27,17,26
2023-01-29,29,40,47
2023-02-05,27,25,30
2023-02-12,27,32,45
2023-02-19,33,31,37
2023-02-26,31,26,30
2023-03-05,25,25,32
2023-03-12,25,27,34
2023-03-19,26,26,37
2023-03-26,18,21,28
2023-04-02,24,20,24
2023-04-09,21,19,26
2023-04-16,28,34,41
2023-04-23,24,27,37
2023-04-30,100,24,33
2023-05-07,34,31,35
2023-05-14,32,41,49
2023-05-21,50,37,48
2023-05-28,37,34,35
2023-06-04,33,31,43
2023-06-11,38,27,38
2023-06-18,34,26,35
2023-06-25,40,24,39
2023-07-02,33,23,39
2023-07-09,36,26,30
2023-07-16,40,24,36
2023-07-23,37,39,37
2023-07-30,34,28,36
2023-08-06,32,26,34
2023-08-13,30,27,37
2023-08-20,34,24,37
2023-08-27,24,23,31
2023-09-03,26,21,31
2023-09-10,27,20,26
2023-09-17,29,19,31
2023-09-24,24,23,33
2023-10-01,21,21,27
2023-10-08,23,16,23
2023-10-15,25,19,29
2023-10-22,20,21,27
2023-10-29,26,21,24
2023-11-05,20,18,25
2023-11-12,32,19,26
2023-11-19,26,17,20
2023-11-26,26,18,25
2023-12-03,40,16,19
2023-12-10,28,16,19
2023-12-17,25,15,21
2023-12-24,26,18,23
2023-12-31,17,17,25
2024-01-07,24,16,22
2024-01-14,21,16,21
2024-01-21,28,13,18
2024-01-28,30,13,18
2024-02-04,21,14,19
2024-02-11,19,14,29
2024-02-18,25,31,65
2024-02-25,20,100,89
2024-03-03,25,36,54
2024-03-10,24,33,32
2024-03-17,21,19,26
2024-03-24,22,19,20
2024-03-31,23,19,20
2024-04-07,20,14,17
2024-04-14,28,16,21
2024-04-21,57,16,21
